x-axis,1,2,3
second,Volt,Volt,Volt
-6.89850E-03,-62.71357E-03,-47.43719E-03,+225.12563E-03
-6.88800E-03,-62.71357E-03,-47.43719E-03,+225.12563E-03
-6.87750E-03,-62.71357E-03,-47.23618E-03,+225.12563E-03
-6.86700E-03,-62.31156E-03,-46.63317E-03,+225.12563E-03
-6.85650E-03,-62.11055E-03,-47.23618E-03,+225.12563E-03
-6.84600E-03,-61.90955E-03,-46.63317E-03,+221.10553E-03
-6.83550E-03,-61.90955E-03,-46.63317E-03,+221.10553E-03
-6.82500E-03,-61.90955E-03,-46.23116E-03,+221.10553E-03
-6.81450E-03,-61.90955E-03,-45.82915E-03,+221.10553E-03
-6.80400E-03,-61.10553E-03,-45.82915E-03,+221.10553E-03
-6.79350E-03,-61.10553E-03,-45.82915E-03,+220.10050E-03
-6.78300E-03,-61.10553E-03,-45.82915E-03,+217.08542E-03
-6.77250E-03,-61.10553E-03,-45.22613E-03,+220.10050E-03
-6.76200E-03,-60.30151E-03,-45.82915E-03,+217.08542E-03
-6.75150E-03,-60.30151E-03,-45.22613E-03,+217.08542E-03
-6.74100E-03,-59.89950E-03,-45.02513E-03,+217.08542E-03
-6.73050E-03,-59.69849E-03,-45.02513E-03,+216.08040E-03
-6.72000E-03,-59.49749E-03,-45.02513E-03,+217.08542E-03
-6.70950E-03,-59.49749E-03,-45.02513E-03,+213.06532E-03
-6.69900E-03,-59.49749E-03,-44.62312E-03,+215.07537E-03
-6.68850E-03,-59.49749E-03,-44.42211E-03,+213.06532E-03
-6.67800E-03,-59.49749E-03,-44.22111E-03,+209.04522E-03
-6.66750E-03,-58.69347E-03,-43.61809E-03,+209.04522E-03
-6.65700E-03,-58.69347E-03,-44.22111E-03,+209.04522E-03
-6.64650E-03,-58.69347E-03,-43.61809E-03,+210.05025E-03
-6.63600E-03,-57.88945E-03,-43.41708E-03,+205.02512E-03
-6.62550E-03,-57.88945E-03,-43.41708E-03,+208.04020E-03
-6.61500E-03,-57.88945E-03,-43.41708E-03,+205.02512E-03
-6.60450E-03,-57.28643E-03,-43.21608E-03,+205.02512E-03
-6.59400E-03,-57.08543E-03,-43.41708E-03,+205.02512E-03
-6.58350E-03,-57.08543E-03,-42.81407E-03,+205.02512E-03
-6.57300E-03,-56.28141E-03,-42.61306E-03,+201.00502E-03
-6.56250E-03,-56.28141E-03,-42.61306E-03,+202.01005E-03
-6.55200E-03,-56.28141E-03,-42.61306E-03,+201.00502E-03
-6.54150E-03,-56.28141E-03,-42.61306E-03,+201.00502E-03
-6.53100E-03,-55.47739E-03,-41.80904E-03,+196.98492E-03
-6.52050E-03,-55.47739E-03,-41.80904E-03,+196.98492E-03
-6.51000E-03,-55.47739E-03,-41.80904E-03,+196.98492E-03
-6.49950E-03,-55.27638E-03,-41.60804E-03,+196.98492E-03
-6.48900E-03,-54.67337E-03,-41.00502E-03,+192.96482E-03
-6.47850E-03,-53.86935E-03,-41.00502E-03,+193.96985E-03
-6.46800E-03,-53.86935E-03,-41.00502E-03,+192.96482E-03
